DateTime,PM2.5 (ug/m3),CO (ppm),NO2 (ppb),O3 (ppb),SO2 (ppb),Amb Temp (C),Rel Hum (%),WS (m/s)
01/01/2015 00:00,19,0.3173,12,39,1,15,67,3.2
02/01/2015 00:00,15,0.4357,19,37,0,17,63,1.8
03/01/2015 00:00,15,0.3726,17,38,3,17,63,3.4
04/01/2015 00:00,12,0.35,20,40,10,20,47,2.2
05/01/2015 00:00,17,0.4418,19,45,1,20,47,2.6
06/01/2015 00:00,32,0.5402,23,42,2,20,53,2.5
07/01/2015 00:00,30,0.5873,21,36,2,17,63,3.2
08/01/2015 00:00,29,0.5731,18,50,1,17,63,2
09/01/2015 00:00,38,0.5594,22,33,5,20,57,2.6
10/01/2015 00:00,20,0.5027,26,37,11,19,58,2.2
11/01/2015 00:00,25,0.49,25,36,10,18,53,2.4
12/01/2015 00:00,15,0.4873,27,23,25,19,44,2.5
13/01/2015 00:00,10,0.6765,26,34,3,19,52,2.5
